2026-04-12 12:06:25.007 +08:00 [DBG] 程式開始
2026-04-12 13:18:59.654 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:19:09.685 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:19:09.713 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:19:19.742 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:19:19.771 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:19:29.795 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:19:29.824 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:19:39.848 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:19:39.875 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:19:49.899 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:19:49.928 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:19:59.955 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:19:59.982 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:20:10.011 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:20:10.039 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:20:20.069 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:20:20.099 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:20:30.129 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:20:30.157 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:20:40.192 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:20:40.235 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:20:50.262 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:20:50.292 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:21:00.327 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:21:00.356 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:21:10.380 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:21:10.408 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:21:20.440 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:21:20.481 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:21:30.510 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:21:30.540 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:21:40.565 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:21:40.594 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:21:50.628 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:21:50.657 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:22:00.689 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:22:00.719 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:22:10.754 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:22:10.781 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:22:20.805 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:22:20.834 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:22:30.861 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:22:30.889 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:22:40.922 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:22:40.951 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:22:50.977 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:22:51.005 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:23:01.036 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:23:01.064 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:23:11.084 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:23:11.113 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:23:21.137 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:23:21.165 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:23:31.197 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:23:31.225 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:23:41.254 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:23:41.283 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:23:51.314 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:23:51.344 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:24:01.379 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:24:01.407 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:24:11.445 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:24:11.473 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:24:21.494 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:24:21.523 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:24:31.554 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:24:31.587 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:24:41.614 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:24:41.640 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:24:51.671 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:24:51.699 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:25:01.725 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:25:01.754 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:25:11.775 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:25:11.804 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:25:21.829 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:25:21.858 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:25:31.890 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:25:31.919 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:25:41.949 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:25:41.978 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:25:52.005 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:25:52.033 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:26:02.058 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:26:02.086 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:26:12.111 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:26:12.140 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:26:22.164 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:26:22.192 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:26:32.222 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:26:32.251 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:26:42.271 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:26:42.298 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:26:52.330 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:26:52.358 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:27:02.378 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:27:02.407 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:27:12.437 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:27:12.465 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:27:22.487 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:27:22.516 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:27:32.538 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:27:32.566 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:27:42.586 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:27:42.615 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:27:52.645 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:27:52.673 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:28:02.710 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:28:02.766 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:28:12.795 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:28:12.823 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:28:22.853 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:28:22.881 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:28:32.903 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:28:32.932 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:28:42.956 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:28:42.985 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:28:53.005 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:28:53.048 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:29:03.080 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:29:03.108 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:29:13.129 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:29:13.156 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:29:23.183 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:29:23.212 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:29:33.239 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:29:33.267 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:29:43.300 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:29:43.333 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:29:53.362 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:29:53.392 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:30:03.420 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:30:03.448 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:30:13.473 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:30:13.502 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:30:23.523 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:30:23.552 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:30:33.580 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:30:33.607 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:30:43.628 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:30:43.656 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:30:53.690 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:30:53.720 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:31:03.749 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:31:03.777 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:31:13.813 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:31:13.852 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:31:23.880 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:31:23.907 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:31:33.932 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:31:33.960 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:31:43.982 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:31:44.012 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:31:54.032 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:31:54.061 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:32:04.087 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:32:04.116 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:32:14.149 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:32:14.177 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:32:24.211 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:32:24.239 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:32:34.266 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:32:34.294 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:32:44.329 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:32:44.359 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:32:54.389 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:32:54.417 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:33:04.444 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:33:04.472 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:33:14.502 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:33:14.530 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:33:24.560 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:33:24.589 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:33:34.614 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:33:34.643 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:33:44.676 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:33:44.706 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:33:54.735 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:33:54.763 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:34:04.796 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:34:04.823 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:34:14.853 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:34:14.883 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:34:24.911 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:34:24.939 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:34:34.966 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:34:34.995 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:34:45.018 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:34:45.046 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:34:55.069 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:34:55.098 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:35:05.131 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:35:05.162 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:35:15.185 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:35:15.216 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:35:25.249 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:35:25.277 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:35:35.308 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:35:35.337 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:35:45.361 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:35:45.388 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:35:55.409 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:35:55.437 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:36:05.466 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:36:05.494 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:36:15.524 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:36:15.552 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:36:25.576 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:36:25.603 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:36:35.628 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:36:35.657 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:36:45.687 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:36:45.715 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:36:55.735 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:36:55.763 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:37:05.785 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:37:05.814 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:37:15.846 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:37:15.875 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:37:25.903 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:37:25.930 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:37:35.962 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:37:35.993 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:37:46.014 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:37:46.043 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:37:56.078 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:37:56.106 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:38:06.138 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:38:06.167 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:38:16.197 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:38:16.225 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:38:26.255 +08:00 [DBG] 資料庫連線 ok!
