序號1,序號2,會員號,環號,比賽日期,第一套鴿鐘時間,第二套鴿鐘時間
250,2,0899,21,2026-02-25,2026-02-25 09:52:49,
252,3,0376,27,2026-02-25,2026-02-25 09:52:57,
285,3,0899,22,2026-02-25,2026-02-25 10:01:04,
328,1,0525,49,2026-02-25,2026-02-25 10:36:04,
329,1,0380,56,2026-02-25,2026-02-25 10:37:33,
330,2,0380,58,2026-02-25,2026-02-25 10:37:38,
332,3,0380,55,2026-02-25,2026-02-25 10:40:21,
335,1,0359,03,2026-02-25,2026-02-25 10:50:06,
336,2,0359,01,2026-02-25,2026-02-25 10:50:06,
337,3,0359,12,2026-02-25,2026-02-25 10:50:07,
355,1,0181,13,2026-02-25,2026-02-25 11:14:53,
362,2,0181,22,2026-02-25,2026-02-25 11:22:11,
363,3,0181,07,2026-02-25,2026-02-25 11:22:12,
364,2,0262,82,2026-02-25,2026-02-25 11:24:13,
367,1,0234,71,2026-02-25,2026-02-25 11:26:00,
370,2,0234,69,2026-02-25,2026-02-25 11:30:37,
373,3,0262,86,2026-02-25,2026-02-25 11:31:42,
375,3,0234,65,2026-02-25,2026-02-25 11:32:33,
376,1,0380,59,2026-02-25,2026-02-25 11:34:14,
398,2,0525,55,2026-02-25,2026-02-25 12:28:25,
399,3,0525,93,2026-02-25,2026-02-25 12:28:25,
415,1,0380,59,2026-02-25,2026-02-25 13:27:47,
416,2,0380,58,2026-02-25,2026-02-25 13:27:50,
417,3,0380,63,2026-02-25,2026-02-25 13:32:06,
426,1,0425,21,2026-02-25,2026-02-25 14:23:31,
427,1,0685,21,2026-02-25,2026-02-25 14:24:41,
428,2,0685,01,2026-02-25,2026-02-25 14:24:48,
429,1,0337,49,2026-02-25,2026-02-25 14:27:44,
430,2,0337,39,2026-02-25,2026-02-25 14:28:01,
431,3,0337,50,2026-02-25,2026-02-25 14:29:43,
433,3,0685,17,2026-02-25,2026-02-25 14:30:10,
435,1,0858,91,2026-02-25,2026-02-25 14:30:58,
436,2,0858,99,2026-02-25,2026-02-25 14:31:01,
438,3,0858,00,2026-02-25,2026-02-25 14:31:49,
440,2,0425,24,2026-02-25,2026-02-25 14:32:00,
454,1,0026,37,2026-02-25,2026-02-25 14:41:00,
455,2,0026,17,2026-02-25,2026-02-25 14:41:01,
456,1,0899,01,2026-02-25,2026-02-25 14:41:36,
457,2,0899,02,2026-02-25,2026-02-25 14:41:37,
463,3,0425,31,2026-02-25,2026-02-25 14:43:11,
464,3,0899,14,2026-02-25,2026-02-25 14:44:33,
467,1,0612,05,2026-02-25,2026-02-25 14:45:58,
468,2,0612,06,2026-02-25,2026-02-25 14:46:03,
469,3,0026,22,2026-02-25,2026-02-25 14:46:05,
471,3,0612,08,2026-02-25,2026-02-25 14:46:41,
535,1,0376,38,2026-02-25,2026-02-25 15:15:41,
536,2,0376,35,2026-02-25,2026-02-25 15:15:42,
537,3,0376,26,2026-02-25,2026-02-25 15:15:44,
554,1,0528,88,2026-02-25,2026-02-25 15:32:52,
555,2,0528,77,2026-02-25,2026-02-25 15:32:53,
556,3,0528,84,2026-02-25,2026-02-25 15:32:54,
563,1,0383,66,2026-02-25,2026-02-25 15:38:38,
564,2,0383,60,2026-02-25,2026-02-25 15:38:40,
565,3,0383,73,2026-02-25,2026-02-25 15:38:54,
573,1,0969,63,2026-02-25,2026-02-25 15:44:39,
574,2,0969,55,2026-02-25,2026-02-25 15:44:40,
582,3,0969,57,2026-02-25,2026-02-25 15:47:47,
583,1,0181,15,2026-02-25,2026-02-25 15:47:51,
584,2,0181,05,2026-02-25,2026-02-25 15:47:53,
585,3,0181,18,2026-02-25,2026-02-25 15:47:58,
606,1,0003,89,2026-02-25,2026-02-25 15:56:55,
607,1,0359,13,2026-02-25,2026-02-25 15:58:31,
608,2,0359,25,2026-02-25,2026-02-25 15:58:32,
609,3,0359,08,2026-02-25,2026-02-25 15:58:33,
622,2,0003,93,2026-02-25,2026-02-25 15:58:51,
631,3,0003,92,2026-02-25,2026-02-25 16:01:51,
670,1,0262,86,2026-02-25,2026-02-25 17:45:09,
671,2,0262,88,2026-02-25,2026-02-25 17:45:13,
672,3,0262,83,2026-02-25,2026-02-25 17:45:14,
