2026-02-21 15:44:00.349 +08:00 [DBG] 程式開始
2026-02-21 15:56:13.396 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:56:21.074 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:56:21.103 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:57:02.611 +08:00 [DBG] 程式開始
2026-02-21 15:57:12.558 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:57:12.697 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:57:12.756 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:57:12.787 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:57:14.371 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:57:14.568 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 16:25:30.355 +08:00 [DBG] 程式開始
2026-02-21 16:25:47.531 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 16:25:47.670 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 16:25:47.722 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 16:25:47.750 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 16:25:51.464 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 16:25:51.661 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 16:25:57.770 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 16:25:57.798 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 16:26:07.824 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 16:26:07.853 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 16:26:17.872 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 16:26:17.901 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 16:26:27.924 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 16:26:27.954 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 16:26:37.972 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 16:26:38.000 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 16:26:48.021 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 16:26:48.051 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 16:26:58.074 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 16:26:58.101 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 16:27:08.144 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 16:27:08.185 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:12:56.098 +08:00 [DBG] 程式開始
2026-02-21 17:13:07.530 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:13:07.688 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:13:07.744 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:13:07.776 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:13:08.821 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:13:09.025 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:13:17.798 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:13:18.444 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:13:28.568 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:13:28.597 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:19:01.985 +08:00 [DBG] 程式開始
2026-02-21 17:19:08.891 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:19:09.025 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:19:09.080 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:19:09.110 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:19:11.584 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:19:11.790 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:19:13.689 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:19:19.131 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:19:19.872 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:19:29.983 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:19:30.013 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:19:40.042 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:19:40.071 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:19:50.096 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:19:50.126 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:20:00.154 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:20:00.193 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:20:10.223 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:20:10.253 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:20:20.283 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:20:20.313 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:20:30.340 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:20:30.369 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:20:40.394 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:20:40.424 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:26:05.399 +08:00 [DBG] 程式開始
2026-02-21 17:26:13.527 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:26:13.664 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:26:13.745 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:26:17.845 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:26:27.912 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:26:27.941 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:26:37.983 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:26:38.022 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:26:48.049 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:26:59.883 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:27:09.928 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:27:09.965 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:27:20.001 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:27:20.031 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:27:46.771 +08:00 [DBG] 程式開始
2026-02-21 17:27:54.759 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:27:54.919 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:27:54.958 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:27:57.415 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:30:05.879 +08:00 [DBG] 程式開始
2026-02-21 17:30:14.228 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:30:14.371 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:31:29.761 +08:00 [DBG] 程式開始
2026-02-21 17:31:37.994 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:31:38.128 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:35:27.526 +08:00 [DBG] 程式開始
2026-02-21 17:35:34.837 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:35:34.971 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:36:06.962 +08:00 [DBG] 程式開始
2026-02-21 17:36:13.929 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:36:14.081 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:41:08.231 +08:00 [DBG] 程式開始
2026-02-21 17:41:14.936 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:41:15.087 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:42:31.317 +08:00 [DBG] 程式開始
2026-02-21 17:42:40.895 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:42:41.036 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:45:20.551 +08:00 [DBG] 程式開始
2026-02-21 17:45:31.510 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:45:31.651 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:45:31.705 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:45:31.845 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:45:41.914 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:45:41.944 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:45:51.970 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:45:52.001 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:46:02.024 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:46:02.056 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:46:12.084 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:46:12.113 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:46:22.137 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:46:22.165 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:46:32.198 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:46:32.228 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:46:42.256 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:46:42.286 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:46:52.309 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:46:52.339 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:47:02.362 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:47:02.391 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:47:21.310 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:47:22.936 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:49:22.457 +08:00 [DBG] 程式開始
2026-02-21 17:49:28.717 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:49:28.875 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:49:32.668 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:49:32.725 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:49:56.004 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:50:02.116 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:53:53.333 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:53:53.364 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:54:03.386 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:54:03.416 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 17:54:15.798 +08:00 [DBG] 程式開始
2026-02-21 17:54:33.888 +08:00 [DBG] 資料庫連線 ok!
